[(1, [61])]
         330309 function calls (319485 primitive calls) in 2.894 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:63(Float)
       24    0.000    0.000    0.000    0.000 __init__.py:643(usesTime)
       24    0.000    0.000    0.000    0.000 __init__.py:649(formatMessage)
        1    0.000    0.000    0.000    0.000 __init__.py:66(AsyncQuicConnection)
       24    0.000    0.000    0.001    0.000 __init__.py:665(format)
        1    0.000    0.000    0.000    0.000 __init__.py:67(String)
        1    0.000    0.000    0.000    0.000 __init__.py:67(TrioBackend)
        1    0.000    0.000    0.000    0.000 __init__.py:67(_256Bit)
        1    0.001    0.001    0.017    0.017 __init__.py:68(bootstrap)
        8    0.000    0.000    0.000    0.000 __init__.py:7(register)
        1    0.000    0.000    0.000    0.000 __init__.py:70(SyncQuicStream)
        1    0.000    0.000    0.000    0.000 __init__.py:70(_128Bit)
        1    0.000    0.000    0.000    0.000 __init__.py:702(BufferingFormatter)
        1    0.000    0.000    0.000    0.000 __init__.py:71(Point)
        1    0.000    0.000    0.001    0.001 __init__.py:71(search_function)
        1    0.000    0.000    0.000    0.000 __init__.py:73(SyncQuicConnection)
        1    0.000    0.000    0.000    0.000 __init__.py:73(_96Bit)
        1    0.000    0.000    0.000    0.000 __init__.py:744(Filter)
        1    0.000    0.000    0.000    0.000 __init__.py:75(Point2f)
        2    0.000    0.000    0.000    0.000 __init__.py:76(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:76(_80Bit)
        1    0.000    0.000    0.000    0.000 __init__.py:781(Filterer)
       16    0.000    0.000    0.000    0.000 __init__.py:786(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:79(Point3f)
        1    0.000    0.000    0.000    0.000 __init__.py:79(_64Bit)
        8    0.000    0.000    0.000    0.000 __init__.py:8(parameterized)
       48    0.000    0.000    0.000    0.000 __init__.py:806(filter)
        1    0.000    0.000    0.000    0.000 __init__.py:82(_32Bit)
        1    0.000    0.000    0.000    0.000 __init__.py:83(Size)
        1    0.000    0.000    0.000    0.000 __init__.py:85(_16Bit)
        2    0.000    0.000    0.000    0.000 __init__.py:853(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 __init__.py:863(Handler)
        1    0.000    0.000    0.000    0.000 __init__.py:87(Rect)
        2    0.000    0.000    0.000    0.000 __init__.py:872(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:88(_8Bit)
       26    0.000    0.000    0.000    0.000 __init__.py:887(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:9(Mat)
        2    0.000    0.000    0.000    0.000 __init__.py:902(createLock)
        1    0.000    0.000    0.000    0.000 __init__.py:91(Prim)
       48    0.000    0.000    0.000    0.000 __init__.py:912(acquire)
       48    0.000    0.000    0.000    0.000 __init__.py:919(release)
       24    0.000    0.000    0.001    0.000 __init__.py:932(format)
        1    0.000    0.000    0.000    0.000 __init__.py:95(Any)
       24    0.000    0.000    0.002    0.000 __init__.py:955(handle)
        1    0.000    0.000    0.000    0.000 __init__.py:973(setFormatter)
        1    0.000    0.000    0.000    0.000 __init__.py:99(GArray)
        2    0.000    0.000    0.001    0.000 __init__.py:99(load_first_config)
        1    0.000    0.000    0.000    0.000 __version__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _abnf.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _adapters.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _adapters.py:11(__init__)
        1    0.000    0.000    0.000    0.000 _adapters.py:15(__getattr__)
        1    0.000    0.000    0.000    0.000 _adapters.py:19(TraversableResourcesLoader)
        1    0.000    0.000    0.000    0.000 _adapters.py:24(__init__)
        1    0.000    0.000    0.000    0.000 _adapters.py:31(DegenerateFiles)
        1    0.000    0.000    0.000    0.000 _adapters.py:37(Path)
        1    0.000    0.000    0.000    0.000 _adapters.py:6(SpecLoaderAdapter)
        1    0.000    0.000    0.000    0.000 _adapters.py:78(wrap_spec)
        1    0.000    0.000    0.006    0.006 _add_newdocs.py:1(<module>)
       52    0.000    0.000    0.000    0.000 _add_newdocs.py:6754(refer_to_array_attribute)
        1    0.000    0.000    0.001    0.001 _add_newdocs_scalars.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:18(numeric_type_aliases)
       18    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:19(type_aliases_gen)
        1    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:54(_get_platform_and_machine)
       24    0.000    0.000    0.001    0.000 _add_newdocs_scalars.py:71(add_newdoc_for_scalar_type)
       16    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:79(<genexpr>)
       41    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:83(<genexpr>)
        2    0.000    0.000    0.136    0.068 _api.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _array_like.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _array_like.py:157(_UnknownType)
        1    0.000    0.000    0.000    0.000 _array_like.py:37(_SupportsArray)
        1    0.000    0.000    0.000    0.000 _array_like.py:42(_SupportsArrayFunc)
        1    0.000    0.000    0.000    0.000 _asarray.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _asyncbackend.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _asyncbackend.py:28(Socket)
        1    0.000    0.000    0.000    0.000 _asyncbackend.py:48(DatagramSocket)
        1    0.000    0.000    0.000    0.000 _asyncbackend.py:59(StreamSocket)
        1    0.000    0.000    0.000    0.000 _asyncbackend.py:67(NullTransport)
        1    0.000    0.000    0.000    0.000 _asyncbackend.py:7(NullContext)
        1    0.000    0.000    0.000    0.000 _asyncbackend.py:72(Backend)
        1    0.000    0.000    0.054    0.054 _auth.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _auth.py:109(FunctionAuth)
        1    0.000    0.000    0.000    0.000 _auth.py:122(BasicAuth)
        1    0.000    0.000    0.000    0.000 _auth.py:145(NetRCAuth)
        1    0.000    0.000    0.000    0.000 _auth.py:173(DigestAuth)
        1    0.000    0.000    0.000    0.000 _auth.py:18(Auth)
        1    0.000    0.000    0.000    0.000 _auth.py:342(_DigestAuthChallenge)
        1    0.000    0.000    0.000    0.000 _base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _base.py:113(_AllCompletedWaiter)
        1    0.000    0.000    0.000    0.000 _base.py:143(_AcquireFutures)
        1    0.000    0.000    0.000    0.000 _base.py:327(Future)
        1    0.000    0.000    0.000    0.000 _base.py:45(Error)
        1    0.000    0.000    0.000    0.000 _base.py:49(CancelledError)
        1    0.000    0.000    0.000    0.000 _base.py:53(TimeoutError)
        1    0.000    0.000    0.000    0.000 _base.py:57(InvalidStateError)
        1    0.000    0.000    0.000    0.000 _base.py:571(Executor)
        1    0.000    0.000    0.000    0.000 _base.py:61(_Waiter)
        1    0.000    0.000    0.000    0.000 _base.py:653(BrokenExecutor)
        1    0.000    0.000    0.000    0.000 _base.py:76(_AsCompletedWaiter)
        1    0.000    0.000    0.000    0.000 _base.py:98(_FirstCompletedWaiter)
        1    0.000    0.000    0.005    0.005 _char_codes.py:1(<module>)
        1    0.000    0.000    0.062    0.062 _client.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _client.py:109(BoundSyncStream)
        1    0.000    0.000    0.001    0.001 _client.py:1293(AsyncClient)
        1    0.000    0.000    0.000    0.000 _client.py:132(BoundAsyncStream)
        1    0.000    0.000    0.001    0.001 _client.py:158(BaseClient)
        1    0.000    0.000    0.000    0.000 _client.py:159(__init__)
        1    0.000    0.000    0.000    0.000 _client.py:206(_enforce_trailing_slash)
        1    0.000    0.000    0.000    0.000 _client.py:285(headers)
        1    0.000    0.000    0.000    0.000 _client.py:429(_build_auth)
        1    0.000    0.000    0.001    0.001 _client.py:569(Client)
        1    0.000    0.000    0.000    0.000 _client.py:620(__init__)
        1    0.000    0.000    0.000    0.000 _client.py:64(UseClientDefault)
        1    0.000    0.000    0.000    0.000 _client.py:91(<listcomp>)
        1    0.000    0.000    0.000    0.000 _client.py:95(ClientState)
        9    0.000    0.000    0.000    0.000 _collections_abc.py:315(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:362(__subclasshook__)
       57    0.000    0.000    0.000    0.000 _collections_abc.py:409(__subclasshook__)
        4    0.000    0.000    0.000    0.000 _collections_abc.py:78(_check_methods)
        6    0.000    0.000    0.000    0.000 _collections_abc.py:821(get)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:828(__contains__)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:983(clear)
        1    0.000    0.000    0.006    0.006 _common.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _common.py:25(normalize_path)
        1    0.000    0.000    0.002    0.002 _common.py:38(get_resource_reader)
        1    0.000    0.000    0.000    0.000 _common.py:55(resolve)
        1    0.000    0.000    0.000    0.000 _common.py:60(get_package)
        2    0.000    0.000    0.001    0.000 _compat.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compat.py:124(DeprecatedAwaitable)
        1    0.000    0.000    0.000    0.000 _compat.py:140(DeprecatedAwaitableFloat)
        1    0.000    0.000    0.000    0.000 _compat.py:163(DeprecatedAwaitableList)
        1    0.000    0.000    0.000    0.000 _compat.py:187(DeprecatedAsyncContextManager)
